,Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06
32000,2015,Level 4,PP114,"Adult, Community and Other Education",Percentage,H41,Liabilities structure,Financial ratios,57,ANZSIC06 groups P821 and P822
32001,2015,Level 1,QQ,Health Care and Social Assistance,Dollars (millions),H01,Total income,Financial performance,"15,193",ANZSIC06 division Q
32002,2015,Level 1,QQ,Health Care and Social Assistance,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,776,ANZSIC06 division Q
32003,2015,Level 1,QQ,Health Care and Social Assistance,Dollars (millions),H06,"Sales, government funding, grants and subsidies",Financial performance,"14,167",ANZSIC06 division Q
32004,2015,Level 1,QQ,Health Care and Social Assistance,Dollars (millions),H07,Non-operating income,Financial performance,250,ANZSIC06 division Q
32005,2015,Level 1,QQ,Health Care and Social Assistance,Dollars (millions),H08,Total expenditure,Financial performance,"13,135",ANZSIC06 division Q
32006,2015,Level 1,QQ,Health Care and Social Assistance,Dollars (millions),H09,Interest and donations,Financial performance,205,ANZSIC06 division Q
32007,2015,Level 1,QQ,Health Care and Social Assistance,Dollars (millions),H10,Indirect taxes,Financial performance,56,ANZSIC06 division Q
32008,2015,Level 1,QQ,Health Care and Social Assistance,Dollars (millions),H11,Depreciation,Financial performance,394,ANZSIC06 division Q
32009,2015,Level 1,QQ,Health Care and Social Assistance,Dollars (millions),H12,Salaries and wages paid,Financial performance,"6,211",ANZSIC06 division Q
32010,2015,Level 1,QQ,Health Care and Social Assistance,Dollars (millions),H13,Redundancy and severance,Financial performance,3,ANZSIC06 division Q
32011,2015,Level 1,QQ,Health Care and Social Assistance,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,"6,111",ANZSIC06 division Q
32012,2015,Level 1,QQ,Health Care and Social Assistance,Dollars (millions),H20,Non-operating expenses,Financial performance,159,ANZSIC06 division Q
32013,2015,Level 1,QQ,Health Care and Social Assistance,Dollars (millions),H21,Opening stocks,Financial performance,63,ANZSIC06 division Q
32014,2015,Level 1,QQ,Health Care and Social Assistance,Dollars (millions),H22,Closing stocks,Financial performance,64,ANZSIC06 division Q
32015,2015,Level 1,QQ,Health Care and Social Assistance,Dollars (millions),H23,Surplus before income tax,Financial performance,"2,058",ANZSIC06 division Q
