,Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06
28000,2015,Level 3,AA13,Dairy Cattle Farming,Dollars (millions),H12,Salaries and wages paid,Financial performance,"1,367",ANZSIC06 group A016
28001,2015,Level 3,AA13,Dairy Cattle Farming,Dollars (millions),H13,Redundancy and severance,Financial performance,0,ANZSIC06 group A016
28002,2015,Level 3,AA13,Dairy Cattle Farming,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,"8,048",ANZSIC06 group A016
28003,2015,Level 3,AA13,Dairy Cattle Farming,Dollars (millions),H20,Non-operating expenses,Financial performance,52,ANZSIC06 group A016
28004,2015,Level 3,AA13,Dairy Cattle Farming,Dollars (millions),H21,Opening stocks,Financial performance,"6,893",ANZSIC06 group A016
28005,2015,Level 3,AA13,Dairy Cattle Farming,Dollars (millions),H22,Closing stocks,Financial performance,"6,740",ANZSIC06 group A016
28006,2015,Level 3,AA13,Dairy Cattle Farming,Dollars (millions),H23,Surplus before income tax,Financial performance,830,ANZSIC06 group A016
28007,2015,Level 3,AA13,Dairy Cattle Farming,Dollars (millions),H24,Total assets,Financial position,"62,338",ANZSIC06 group A016
28008,2015,Level 3,AA13,Dairy Cattle Farming,Dollars (millions),H25,Current assets,Financial position,"10,732",ANZSIC06 group A016
28009,2015,Level 3,AA13,Dairy Cattle Farming,Dollars (millions),H26,Fixed tangible assets,Financial position,"38,317",ANZSIC06 group A016
28010,2015,Level 3,AA13,Dairy Cattle Farming,Dollars (millions),H29,Other assets,Financial position,"13,289",ANZSIC06 group A016
28011,2015,Level 3,AA13,Dairy Cattle Farming,Dollars (millions),H30,Total equity and liabilities,Financial position,"62,338",ANZSIC06 group A016
28012,2015,Level 3,AA13,Dairy Cattle Farming,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"22,702",ANZSIC06 group A016
28013,2015,Level 3,AA13,Dairy Cattle Farming,Dollars (millions),H32,Current liabilities,Financial position,"9,306",ANZSIC06 group A016
28014,2015,Level 3,AA13,Dairy Cattle Farming,Dollars (millions),H33,Other liabilities,Financial position,"30,330",ANZSIC06 group A016
